1,752,Test problem for class 752 on Sticker 1,18,79
2,771,Test problem for class 771 on Sticker 2,131,138
3,25,Test problem for class 25 on Sticker 3,74,26
4,802,Test problem for class 802 on Sticker 4,50,65
5,344,Test problem for class 344 on Sticker 5,31,65
6,387,Test problem for class 387 on Sticker 6,7,20
7,574,Test problem for class 574 on Sticker 7,24,111
8,608,Test problem for class 608 on Sticker 8,72,67
9,61,Test problem for class 61 on Sticker 9,135,69
10,879,Test problem for class 879 on Sticker 10,82,50
11,909,Test problem for class 909 on Sticker 11,30,142
12,414,Test problem for class 414 on Sticker 12,81,10
13,779,Test problem for class 779 on Sticker 13,26,101
14,318,Test problem for class 318 on Sticker 14,141,35
15,763,Test problem for class 763 on Sticker 15,107,104
16,387,Test problem for class 387 on Sticker 16,132,127
17,832,Test problem for class 832 on Sticker 17,1,148
18,611,Test problem for class 611 on Sticker 18,97,41
19,912,Test problem for class 912 on Sticker 19,52,140
20,727,Test problem for class 727 on Sticker 20,41,96
21,673,Test problem for class 673 on Sticker 21,144,149
22,264,Test problem for class 264 on Sticker 22,16,69
23,296,Test problem for class 296 on Sticker 23,46,143
24,704,Test problem for class 704 on Sticker 24,74,127
25,888,Test problem for class 888 on Sticker 25,58,71
26,769,Test problem for class 769 on Sticker 26,147,27
27,417,Test problem for class 417 on Sticker 27,71,95
28,681,Test problem for class 681 on Sticker 28,116,97
29,400,Test problem for class 400 on Sticker 29,149,33
30,879,Test problem for class 879 on Sticker 30,33,69
31,263,Test problem for class 263 on Sticker 31,123,23
32,400,Test problem for class 400 on Sticker 32,17,149
33,271,Test problem for class 271 on Sticker 33,36,66
34,522,Test problem for class 522 on Sticker 34,94,101
35,215,Test problem for class 215 on Sticker 35,17,122
36,536,Test problem for class 536 on Sticker 36,99,36
37,572,Test problem for class 572 on Sticker 37,109,59
38,103,Test problem for class 103 on Sticker 38,77,98
39,841,Test problem for class 841 on Sticker 39,130,68
40,889,Test problem for class 889 on Sticker 40,137,117
41,860,Test problem for class 860 on Sticker 41,89,128
42,318,Test problem for class 318 on Sticker 42,43,150
43,325,Test problem for class 325 on Sticker 43,98,110
44,295,Test problem for class 295 on Sticker 44,89,103
45,606,Test problem for class 606 on Sticker 45,129,64
46,429,Test problem for class 429 on Sticker 46,64,142
47,701,Test problem for class 701 on Sticker 47,33,25
48,868,Test problem for class 868 on Sticker 48,105,61
49,821,Test problem for class 821 on Sticker 49,132,97
50,555,Test problem for class 555 on Sticker 50,6,99
51,244,Test problem for class 244 on Sticker 51,107,35
52,104,Test problem for class 104 on Sticker 52,36,99
53,345,Test problem for class 345 on Sticker 53,54,45
54,929,Test problem for class 929 on Sticker 54,39,73
55,642,Test problem for class 642 on Sticker 55,33,83
56,611,Test problem for class 611 on Sticker 56,45,147
57,853,Test problem for class 853 on Sticker 57,40,143
58,864,Test problem for class 864 on Sticker 58,69,84
59,831,Test problem for class 831 on Sticker 59,9,14
60,6,Test problem for class 6 on Sticker 60,64,144
61,457,Test problem for class 457 on Sticker 61,54,108
62,68,Test problem for class 68 on Sticker 62,105,99
63,273,Test problem for class 273 on Sticker 63,95,146
64,578,Test problem for class 578 on Sticker 64,14,52
65,807,Test problem for class 807 on Sticker 65,37,127
66,593,Test problem for class 593 on Sticker 66,130,42
67,388,Test problem for class 388 on Sticker 67,33,105
68,807,Test problem for class 807 on Sticker 68,28,65
69,17,Test problem for class 17 on Sticker 69,99,76
70,173,Test problem for class 173 on Sticker 70,69,74
71,170,Test problem for class 170 on Sticker 71,13,5
