45,1
116,1
7,2
117,2
21,3
114,3
15,4
7,4
105,5
60,5
106,6
100,6
31,7
110,7
107,8
130,8
55,9
30,9
13,10
18,10
13,11
29,11
149,12
87,12
107,13
138,13
53,14
33,14
144,15
124,15
26,16
6,16
4,17
53,17
101,18
7,18
133,19
42,19
30,20
57,20
1,21
86,21
113,22
23,22
57,23
111,23
1,24
20,24
128,25
86,25
148,26
114,26
2,27
2,27
125,28
61,28
43,29
92,29
91,30
86,30
117,31
36,31
26,32
131,32
83,33
129,33
105,34
49,34
56,35
108,35
135,36
15,36
34,37
110,37
142,38
74,38
33,39
145,39
35,40
95,40
81,41
76,41
124,42
35,42
34,43
34,43
108,44
8,44
11,45
2,45
125,46
27,46
60,47
128,47
138,48
150,48
77,49
36,49
117,50
70,50
91,51
18,51
132,52
13,52
23,53
26,53
60,54
147,54
48,55
85,55
120,56
57,56
51,57
24,57
107,58
58,58
20,59
40,59
83,60
108,60
59,61
85,61
80,62
67,62
129,63
14,63
31,64
39,64
26,65
31,65
71,66
6,66
131,67
135,67
141,68
145,68
42,69
121,69
57,70
105,70
69,71
112,71
43,72
14,72
116,73
118,73
3,74
131,74
104,75
56,75
42,76
39,76
59,77
143,77
56,78
26,78
71,79
90,79
101,80
35,80
30,81
114,81
3,82
129,82
143,83
10,83
64,84
65,84
43,85
18,85
84,86
69,86
141,87
65,87
76,88
82,88
137,89
128,89
43,90
86,90
144,91
80,91
23,92
2,92
1,93
17,93
88,94
22,94
56,95
99,95
86,96
3,96
130,97
64,97
34,98
48,98
103,99
107,99
121,100
125,100
148,101
55,101
