1,1,143,4,Test Review Number 1 for the help requesting student 143 on sticker 1
2,1,90,3.5,Test Review Number 2 for the Mentor 90 on sticker 1
3,2,35,5,Test Review Number 3 for the help requesting student 35 on sticker 2
4,2,36,0.5,Test Review Number 4 for the Mentor 36 on sticker 2
5,3,13,4.5,Test Review Number 5 for the help requesting student 13 on sticker 3
6,3,130,2.5,Test Review Number 6 for the Mentor 130 on sticker 3
7,4,25,2.5,Test Review Number 7 for the help requesting student 25 on sticker 4
8,4,149,5,Test Review Number 8 for the Mentor 149 on sticker 4
9,5,96,3.5,Test Review Number 9 for the help requesting student 96 on sticker 5
10,5,111,3,Test Review Number 10 for the Mentor 111 on sticker 5
11,6,120,3.5,Test Review Number 11 for the help requesting student 120 on sticker 6
12,6,17,0.5,Test Review Number 12 for the Mentor 17 on sticker 6
13,7,47,4.5,Test Review Number 13 for the help requesting student 47 on sticker 7
14,7,135,4,Test Review Number 14 for the Mentor 135 on sticker 7
15,8,55,1.5,Test Review Number 15 for the help requesting student 55 on sticker 8
16,8,92,3.5,Test Review Number 16 for the Mentor 92 on sticker 8
17,9,98,4,Test Review Number 17 for the help requesting student 98 on sticker 9
18,9,39,2.5,Test Review Number 18 for the Mentor 39 on sticker 9
19,10,28,5,Test Review Number 19 for the help requesting student 28 on sticker 10
20,10,144,2.5,Test Review Number 20 for the Mentor 144 on sticker 10
21,11,146,4,Test Review Number 21 for the help requesting student 146 on sticker 11
22,11,103,5,Test Review Number 22 for the Mentor 103 on sticker 11
23,12,18,0.5,Test Review Number 23 for the help requesting student 18 on sticker 12
24,12,4,3,Test Review Number 24 for the Mentor 4 on sticker 12
25,13,141,1.5,Test Review Number 25 for the help requesting student 141 on sticker 13
26,13,66,3.5,Test Review Number 26 for the Mentor 66 on sticker 13
27,14,12,3,Test Review Number 27 for the help requesting student 12 on sticker 14
28,14,149,4.5,Test Review Number 28 for the Mentor 149 on sticker 14
29,15,52,3.5,Test Review Number 29 for the help requesting student 52 on sticker 15
30,15,53,1,Test Review Number 30 for the Mentor 53 on sticker 15
31,16,44,5,Test Review Number 31 for the help requesting student 44 on sticker 16
32,16,136,4.5,Test Review Number 32 for the Mentor 136 on sticker 16
33,17,148,2,Test Review Number 33 for the help requesting student 148 on sticker 17
34,17,66,2.5,Test Review Number 34 for the Mentor 66 on sticker 17
35,18,127,1,Test Review Number 35 for the help requesting student 127 on sticker 18
36,18,16,1,Test Review Number 36 for the Mentor 16 on sticker 18
37,19,45,2,Test Review Number 37 for the help requesting student 45 on sticker 19
38,19,73,5,Test Review Number 38 for the Mentor 73 on sticker 19
39,20,64,4,Test Review Number 39 for the help requesting student 64 on sticker 20
40,20,24,3,Test Review Number 40 for the Mentor 24 on sticker 20
41,21,32,1,Test Review Number 41 for the help requesting student 32 on sticker 21
